nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:35:04.000	71.945167	69.944945	67.144402	
2016/02/24 09:35:05.000	67.144402	66.244139	65.944039	
2016/02/24 09:35:06.000	68.144637	67.744550	66.644263	
2016/02/24 09:35:07.000	70.745046	69.344856	67.644527	
2016/02/24 09:35:08.000	78.245456	76.445411	70.745046	
2016/02/24 09:35:09.000	77.345436	74.745346	73.745295	
2016/02/24 09:35:10.000	79.445478	78.145454	75.945394	
2016/02/24 09:35:11.000	79.245474	77.845448	76.445411	
2016/02/24 09:35:12.000	80.145488	78.545462	76.445411	
2016/02/24 09:35:13.000	76.845422	76.045398	75.245368	
2016/02/24 09:35:14.000	76.945425	75.845391	74.745346	
